test,param,DY,u_star
2a_tmax,5,0.0020885387031620573,
2a_tmax,10,0.0020878876482360864,
2a_tmax,20,0.0020878842979789036,
2a_tmax,50,0.0020878842978931944,
2a_tmax,100,0.0020878842978931944,
2a_tmax,200,0.0020878842978931944,
2b_ntheta,9,0.0020878876482360864,
2b_ntheta,19,0.0020878876482360864,
2b_ntheta,37,0.0020878876482360864,
2b_ntheta,73,0.0020878876482360864,
2b_ntheta,91,0.0020878876482360864,
2b_ntheta,181,0.0020878876482360864,
2b_ntheta,361,0.0020878876482360864,
2c_nu,25,0.002087611958439428,1.683298489028328
2c_nu,50,0.002088121122890141,1.6822703316651415
2c_nu,100,0.002088092010317122,1.6818804846794437
2c_nu,200,0.0020881191310203606,1.6816848719691024
2d_nB,5,,1.6822703316651415
2d_nB,9,,1.6822703316651415
2d_nB,19,,1.6822703316651415
2d_nB,39,,1.6822703316651415
